#id,nombre,descripcion
E1,Recluirse,La soledad a la larga no hace bien.
E2,Pasar al otro mundo,La muerte le llega a todos.
E3,Hacerse notar,Entre tantas máscaras sociales.
E4,Dedicarse a las artes,Fomentar tu expresion artistica
E5,Pasear,La vida es más preciosa vista desde otros lados.
E6,Tener un amor frugal,¿Cuántos poemas van ya?
E7,Hacer deporte,¿A quién no le gusta un cuerpo atlético?
E8,Trabajar,Alguien tiene que poner el pan en la mesa.
E9,Dedicarse a los estudios,Para ser un cádaver culto.
E10,Ir en una gira artistica,Luego no te termines mareando.
E11,Viajar en barco,¿Quién no disfruta de un lindo viaje en barco?
E12,Avanzar un paso en la relación amorosa,No vayas a terminar pisándola.
E13,Entrenar para atleta,No es fácil tener pie de atleta.
E14,Ascender de cargo en el trabajo,Ahora te encargas del café además.
E15,Realizar una carrera de grado,Hay cierto grado de necesidad en hacerla.
E16,Publicar un libro,Aunque lo lea sólo tu mamá.
E17,Romper con tu pareja,Al parecer no le gustó descubrir tus fantasías.
E18,Renunciar al trabajo,Y mandar al jefe a volar.
E19,Compartir la vida con tu otra mitad,No es necesario aclarar que es figurativo.
E20,Producir una película,El género de la película se mantiene secreto.
E21,Viajar por el mundo,Puede que tardes un poco más de 80 días.
E22,Ir a por un premio artistico,Y salir segundo por creativo.
E23,Ir a por un premio Nóbel,Y arrebatarlo cuando nadie está mirando.
E24,Fundar una empresa,"No confundir con ""fundir"" una empresa."
E25,Agrandar la familia,Una boca más que alimentar.
E26,Ser parte del equipo deportivo nacional,Alguien tiene que ser el aguatero nacional.
E27,"Rock and Roll, baby",Fiebre de sábado por la noche todos los días.
E28,Viajar por el trabajo,El puesto de choripán no se atiende solo.
E29,Realizar experimentos peligrosos,¿Peligrosos para quién?
E30,Vivir para el deporte,O morir por él.
R1,Ninguno,¡Esto es seguridad!
R2,Accidente en el escenario,Te avisaron que el microfono daba patadas.
R3,Hundimiento del barco,Vos querias viajar en el Titanic
R4,Depresión por ser engañado,Ya no se puede confiar en nadie
R5,ACV,No tuviste la misma suerte que Carlos Calvo
R6,Paro cardíaco por estrés,Si te duele el brazo izquierdo es mala señal
R7,Depresión severa, Se verá la depresión en tu cara
R8,Asesinato por herencia,Por suerte le dejaste todo al perro
R9,Accidente en el set,Ya es tarde para pedir que atornillen bien esa lampara de techo
R10,Quedar atrapado en una guerra,¡Donde estuviste vacacionando!
R11,Morir a lo Lennon,Y esta vez no fue Chapman
R12,Depresión por fracaso,Se acabaron todas las esperanzas
R13,Accidente en el camino,Un trabajo peligroso era el tuyo
R14,Accidente en el laboratorio,¡Los nanobots se han escapado!
